http://bbs.duowan.com/thread-18221954-1-25.html?extra=page%3D25%26amp%3Bfilter%3D0%26amp%3Borderby%3Ddateline%26amp%3Bascdesc%3DDESC

称号名 詳細 

（なし） 不表示 
初心者 最初持有 
経験者 最初持有 
熟練者（自称） 最初持有 
名も無き 最初持有 
かけだし 最初持有 
お手伝いさん 最初持有 
勇者様 最初持有 
ハンター 最初持有 
一年生 最初持有 
期待 最初持有 
猟団 最初持有 
旦那様 最初持有 
お嬢様 最初持有 
募集中 最初持有 
マン 最初持有 
ガール 最初持有 
オレ 最初持有 
ミー 最初持有 
ユクモ 村长任务★1全通过 
仲間 村长任务★2全通过 
護り手 村长任务★3全通过 
狩人 村长任务★4全通过 
導き手 村长任务★5全通过 
マスター 村长任务★6全通过 
ギルド 集会任务★1全通过 
ナイト 集会任务★2全通过 
切り札 集会任务★3全通过 
エース 集会任务★4全通过 
ジェネラル 集会任务★5全通过 
インペリアル 集会任务★6全通过 
最終兵器 集会任务★7全通过 
極み 集会任务★8全通过 
イクシード 村长集会任务全通过 
浴場 温泉任务全通过 
大富豪 金钱超过20W 
セレブ 金钱到达999999 
賢者 调合方法全部达成 
本 全部书籍获得 
おしゃれ SU系列防具可以变色后 
モデル 村6星“終焉を喰らう者”通过后 
コーディネート SU系列可以用RGB改变颜色后 
あたり 喝10次饮料 
はずれ 喝20次饮料 
フィーバー 喝30次饮料 
温泉 进入10次温泉 
たまご 进入20次温泉 
まんじゅう 进入30次温泉 
タル配便 使用10次桶快递 
メッセンジャー 使用20次桶快递 
転がし 使用30次桶快递 
プーギー 抚摸10次小猪 
散歩 抚摸20次小猪 
ロデオ 抚摸30次小猪 
大好き 抚摸40次小猪 
野良 随从猫出击10次 
オトモ 随从猫出击20次 
戦友 随从猫出击30次 
ニャ 随从猫出击40次 
マスコット 猪服装全收集 
ヒトメボレ 随从猫好感度合集15点 
ラブ 随从猫好感度合集30点 
愛 随从猫好感度合集45点 
嫁 随从猫好感度合集60点 
デレデレ 随从猫全技能开放 
運び屋 达成过多次搬运任务 
フレンドリィ 与农场的随从猫对话100次 
ウォー 钓鱼50次 
こげ 顺利烤出10次肉（农场不算） 
こんがり 顺利烤出20次肉（农场不算） 
レア 顺利烤出30次肉（农场不算） 
上手 顺利烤出40次肉（农场不算） 
焼けマスター 顺利烤出50次肉（农场不算） 
アングラー 钓过潜口龙 
フロギィ 狩猎20只毒狗龙（王） 
狡猾 狩猎30只毒狗龙（王） 
ベノム 狩猎40只毒狗龙（王） 
瘴気 狩猎20只毒狗龙（王） 
アオアシラ 狩猎20只青熊兽 
山 狩猎30只青熊兽 
ブルー 狩猎40只青熊兽 
横綱 狩猎50只青熊兽 
ウルクスス 狩猎20只白兔兽 
ホワイト 狩猎30只白兔兽 
ツルツル 狩猎40只白兔兽 
白兎 狩猎50只白兔兽 
ラングロトラ 狩猎20只赤甲兽 
挑発 狩猎30只赤甲兽 
レッド 狩猎40只赤甲兽 
弾丸 狩猎50只赤甲兽 
ファンゴ 狩猎20只野猪王 
獣 狩猎30只野猪王 
ファング 狩猎40只野猪王 
猪突 狩猎50只野猪王 
リオレイア 狩猎20只雌火龙 
大地 狩猎30只雌火龙 
プリンセス 狩猎40只雌火龙 
竜姫 狩猎50只雌火龙 
リオレウス 狩猎20只雄火龙 
大空 狩猎30只雄火龙 
プリンス 狩猎40只雄火龙 
王者 狩猎50只雄火龙 
クルペッコ 狩猎20只彩鸟 
七色 狩猎30只彩鸟 
レインボー 狩猎40只彩鸟 
派手 狩猎50只彩鸟 
ダンス 狩猎20只彩鸟亚种 
サンダー 狩猎30只彩鸟亚种 
フラッシュ 狩猎40只彩鸟亚种 
閃光 狩猎50只彩鸟亚种 
ギギネブラ 狩猎20只毒怪龙 
闇 狩猎30只毒怪龙 
ヴァンパイア 狩猎40只毒怪龙 
死神 狩猎50只毒怪龙 
恐怖 狩猎20只毒怪龙亚种 
紅 狩猎30只毒怪龙亚种 
ビリビリ 狩猎40只毒怪龙亚种 
雷電 狩猎50只毒怪龙亚种 
ベリオロス 狩猎20只冰牙龙 
白 狩猎30只冰牙龙 
スピード 狩猎40只冰牙龙 
零度 狩猎50只冰牙龙 
サーベル 狩猎20只冰牙龙亚种 
砂塵 狩猎30只冰牙龙亚种 
ツイスター 狩猎40只冰牙龙亚种 
騎士 狩猎50只冰牙龙亚种 
ディアブロス 狩猎20只角龙 
乱れ 狩猎30只角龙 
デザート 狩猎40只角龙 
双魔 狩猎50只角龙 
ボルボロス 狩猎20只土砂龙 
突撃 狩猎30只土砂龙 
タイラント 狩猎40只土砂龙 
強力 狩猎50只土砂龙 
アイス 狩猎20只土砂龙亚种 
氷河 狩猎30只土砂龙亚种 
グレイシア 狩猎40只土砂龙亚种 
粉砕 狩猎50只土砂龙亚种 
ウラガンキン 狩猎20只爆锤龙 
破壊 狩猎30只爆锤龙 
ローリング 狩猎40只爆锤龙 
鉄槌 狩猎50只爆锤龙 
鋼 狩猎20只爆锤龙亚种 
自爆 狩猎30只爆锤龙亚种 
ボンバー 狩猎40只爆锤龙亚种 
爆砕 狩猎50只爆锤龙亚种 
ロアルドロス 狩猎20只水兽 
激流 狩猎30只水兽 
セイレーン 狩猎40只水兽 
水獅 狩猎50只水兽 
パープル 狩猎20只水兽亚种 
毒霧 狩猎30只水兽亚种 
ペイン 狩猎40只水兽亚种 
紫苑 狩猎50只水兽亚种 
ゼロ 狩猎20只炎戈龙亚种 
吹雪 狩猎30只炎戈龙亚种 
アクア 狩猎40只炎戈龙亚种 
雪月花 狩猎50只炎戈龙亚种 
ティガレックス 狩猎20只轰龙 
絶対 狩猎30只轰龙 
ワイルド 狩猎40只轰龙 
轟虎 狩猎50只轰龙 
ナルガクルガ 狩猎20只迅龙 
夜襲 狩猎30只迅龙 
ソニック 狩猎40只迅龙 
瞬殺 狩猎50只迅龙 
ジンオウガ 狩猎20只雷狼龙 
変身 狩猎30只雷狼龙 
バースト 狩猎40只雷狼龙 
迅雷 狩猎50只雷狼龙 
ハプルポッカ 狩猎20只潜口龙 
大食い 狩猎30只潜口龙 
バクバク 狩猎40只潜口龙 
潜伏 狩猎50只潜口龙 
ドボルベルク 狩猎20只尾槌龙 
大回転 狩猎30只尾槌龙 
グルグル 狩猎40只尾槌龙 
激震 狩猎50只尾槌龙 
イビルジョー 狩猎20只恐暴龙 
悪魔 狩猎30只恐暴龙 
デストロイ 狩猎40只恐暴龙 
暴君 狩猎50只恐暴龙 
アカムトルム 狩猎10只霸龙 
英雄 狩猎15只霸龙 
タイクーン 狩猎20只霸龙 
覇王 狩猎30只霸龙 
ウカムルバス 狩猎10只崩龙 
砕氷 狩猎15只崩龙 
ブリザード 狩猎20只崩龙 
崩壊 狩猎30只崩龙 
アルバトリオン 狩猎10只煌黑龙 
龍 狩猎15只煌黑龙 
ハードラック 狩猎20只煌黑龙 
アマツマガツチ 狩猎10只岚龙 
轟天 狩猎15只岚龙 
エターナル 狩猎20只岚龙 
破滅 狩猎30只岚龙 
ジエン 狩猎10只峯山龙 
戦 狩猎15只峯山龙 
ジャガーノート 狩猎20只峯山龙 
武神 狩猎30只峯山龙 
プロフェッサー 体表颜色不同的怪物全部讨伐（亚种） 
撃墜王 将全部大连续任务通过 
アングラー 钓过潜口龙 
秘密 以秘境开始任务5次 
隠し 以秘境开始任务5次 
へたれ 放弃50次任务 
こしぬけ 放弃100次任务 
黒帯 集团演习的演习任务全部通过（B级以上） 
渓流 通过20次溪流任务 
砂原 通过20次砂原任务 
水没林 通过20次水没林任务 
孤島 通过20次孤岛任务 
凍土 通过20次冻土任务 
火山 通过20次火山任务 
案内人 通过100次任务 
アルカディア 在灵峰、神域、极圈、熔岩峡谷通过20次任务 
守護神 在大沙漠通过20次任务 
こだわり 用1种武器通过任务100次 
ルーキー 集会点一定量获得 
ストレンジャー 集会点一定量获得 
ベイグラント 集会点一定量获得 
ウォーカー 集会点一定量获得 
シーフ 集会点一定量获得 
ビースト 集会点一定量获得 
ファイター 集会点一定量获得 
ウォーリア 集会点一定量获得 
バーサーカー 集会点一定量获得 
マーシナリー 集会点一定量获得 
アーチャー 集会点一定量获得 
ベテラン 集会点一定量获得 
アタッカー 集会点一定量获得 
アイアン 集会点一定量获得 
ブレイカー 集会点一定量获得 
サムライ 集会点一定量获得 
スナイパー 集会点一定量获得 
アサシン 集会点一定量获得 
グランド 集会点一定量获得 
バスター 集会点一定量获得 
ストライダー 集会点一定量获得 
セイバー 集会点一定量获得 
スレイヤー 集会点一定量获得 
ガーディアン 集会点一定量获得 
ロード 集会点一定量获得 
ブレイヴァー 集会点一定量获得 
チャンピオン 集会点一定量获得 
ヒーロー 集会点一定量获得 
モンスター 集会点一定量获得 
三流 田+1 栈桥+1 采掘+1 设施扩张 
二流 高级蘑菇木 王族的香液 正式型蜂巢 设施扩张 
一流 全设施扩张 
ファーマー 设施扩张 「畑のウネ＋２」 
フィッシャー 设施扩张  「網と桟橋＋２」 
採掘王 设施扩张  「採掘ポイント＋２」 
ブレイク 设施扩张  「採掘ポイント＋３」 
機械仕掛け 设施扩张  「巨大魚篭」 
トロッコ 设施扩张  「採掘トロッコ」 
ムシ 设施扩张 「虫寄せの上香液」 
ウイング 设施扩张 「虫の木用シーソー」 
キノコ 设施扩张 「最高級キノコの木」 
ハニー 设施扩张 「改良型ハチの巣箱」 
探検隊 设施扩张 「モンニャン荷車」 
旅人 让一只猫进行猫任务后达成胜利报告 
ソード 片手剑最终派生多数所持 
剣 片手剑最终派生多数所持 
遊撃 片手剑最终派生多数所持 
ブレイド 大剑最终派生多数所持 
大剣 大剑最终派生多数所持 
両断 大剑最终派生多数所持 
ランス 长枪最终派生多数所持 
槍 长枪最终派生多数所持 
堅実 长枪最终派生多数所持 
ハンマー 大锤最终派生多数所持 
槌 大锤最终派生多数所持 
回転 大锤最终派生多数所持 
デュアルソード 双剑最终派生多数所持 
双剣 双剑最终派生多数所持 
乱舞 双剑最终派生多数所持 
ライトボウガン 轻弩最终派生多数所持 
軽弩 轻弩最终派生多数所持 
早撃ち 轻弩最终派生多数所持 
ヘビィボウガン 重弩最终派生多数所持 
重弩 重弩最终派生多数所持 
巨砲 重弩最终派生多数所持 
カタナ 太刀最终派生多数所持 
太刀 太刀最终派生多数所持 
一閃 太刀最终派生多数所持 
ボウ 弓箭最终派生多数所持 
弓 弓箭最终派生多数所持 
流星 弓箭最终派生多数所持 
ガンランス 铳枪最终派生多数所持 
銃槍 铳枪最终派生多数所持 
浪漫 铳枪最终派生多数所持 
ホルン 狩猎笛最终派生多数所持 
笛 狩猎笛最终派生多数所持 
旋律 狩猎笛最终派生多数所持 
アックス 斩斧最终派生多数所持 
斬斧 斩斧最终派生多数所持 
変形 斩斧最终派生多数所持 
ウエポン 全武器称号获得 
ヘッド 高级头部防具多数制作 
ボディ 高级胸部防具多数制作 
アーム 高级腕部防具多数制作 
ウエスト 高级腰部防具多数制作 
レッグ 高级足部防具多数制作 
アーマー 「ヘッド」「ボディ」「アーム」「ウエスト」「レッグ」称号获得 
スラッシュ 高级猫武器多数制作 
オール 高级猫头部防具多数制作 
コレクター 高级猫身体防具多数制作 
コンプリート 猫武具全部获得 
ファミ通 下载称号 
サンデー 下载称号 
ぽかぽか 特典 下载称号 
ポッケ 特典 下载称号 
